Query,Clicks,Impressions,CTR,Position
john lewis curtains,36,99168,0.04%,3.12
john lewis sale,35,45359,0.08%,1.71
oven gloves,31,91290,0.03%,4.7
mugs,20,82673,0.02%,2.25
men's nightshirts john lewis,18,150,12%,3.59
sewing box,11,38919,0.03%,3.54
john lewis black friday,11,34635,0.03%,2.29
plum and ashby stockists,10,28,35.71%,4.18
john lewis sale home,8,1567,0.51%,1
john lewis operation game,8,54,14.81%,3.63
ready made curtains,7,7392,0.09%,3.78
made to measure curtains,6,23179,0.03%,3.3
make up bags uk,6,6993,0.09%,2.62
leather briefcase for men,6,4065,0.15%,2.2
cushions,5,37900,0.01%,3.82
make up bags,5,17389,0.03%,2.71
john lewis i phones,5,131,3.82%,1.01
operation game john lewis,5,29,17.24%,3.17
laptop bags for men,4,11332,0.04%,1.95
john lewis home sale,4,1024,0.39%,1
pantone mugs john lewis,4,65,6.15%,4.83
bedside clock,3,8809,0.03%,5.21
sewing basket,3,7042,0.04%,2.34
sewing boxes,3,6211,0.05%,2.73
john lewis alarm clock,3,4326,0.07%,2.1
john lewis home accessories sale,3,303,0.99%,1.02
john lewis mens nightshirts,3,32,9.38%,3.34
gant fleece jacket,3,10,30%,10
make up bag,2,44222,0%,2.48
oven mitts,2,9184,0.02%,5.48
leather briefcase,2,6078,0.03%,3.11
briefcase for men,2,5618,0.04%,1.94
curtains john lewis,2,4995,0.04%,3.14
designer mugs,2,3172,0.06%,4.32
briefcase bag,2,2760,0.07%,4.4
john lewis black friday deals,2,2166,0.09%,2.9
mens leather briefcase,2,1804,0.11%,1.93
johnlewis curtains,2,1410,0.14%,2.69
knitting bag dunelm,2,1008,0.2%,9.6
kitchenaid oven gloves,2,696,0.29%,9.37
best curtains uk,2,667,0.3%,7.71
mantelpiece accessories,2,398,0.5%,4.26
john lewis womenswear clearance,2,339,0.59%,1.02
knitting baskets,2,277,0.72%,5.82
john lewis iphone,2,273,0.73%,1
india jane lamps,2,133,1.5%,6.47
designer maternity clothes,2,91,2.2%,3.64
emma bridgewater gift box,2,43,4.65%,3.63
www john lewis sale,2,37,5.41%,2.05
john lewis enamel pie dish,2,16,12.5%,4
ghd max styler gift set,2,9,22.22%,2.11
black gloss adjustable hunter wellies,2,2,100%,32
makeup bag,1,57326,0%,4.09
clock,1,29085,0%,6.44
wash bag,1,18608,0.01%,1.87
large mugs,1,8858,0.01%,3.05
mens shoulder bags,1,5670,0.02%,4.6
large make up bag,1,4634,0.02%,5.6
table clock,1,4386,0.02%,1.83
leather bags for men,1,4360,0.02%,2.08
messenger bags for men,1,4202,0.02%,2.43
desk clock,1,3945,0.03%,8.94
large coffee mugs,1,3783,0.03%,9.34
bedroom clock,1,3692,0.03%,4.79
sewing box dunelm,1,3427,0.03%,8.77
nice mugs,1,3374,0.03%,1.94
work bags for men,1,3055,0.03%,3.35
man bags,1,3030,0.03%,8.8
sewing bag,1,2685,0.04%,3.69
dorma curtains,1,2526,0.04%,10.15
knitting basket,1,2435,0.04%,4.74
sewing storage,1,2324,0.04%,5.65
designer makeup bag,1,2194,0.05%,5.68
womens wash bag,1,2126,0.05%,1.45
pretty mugs,1,1989,0.05%,4.58
bedroom ceiling lights,1,1832,0.05%,7.03
knitting box,1,1793,0.06%,5.7
knitting storage,1,1696,0.06%,8.7
sewing baskets,1,1624,0.06%,4.03
best mugs,1,1465,0.07%,5.93
ready made curtains uk,1,1430,0.07%,2.78
man bags uk,1,1424,0.07%,5.39
make up vanity case,1,1415,0.07%,10.85
oven mits,1,1308,0.08%,5.54
beautiful mugs,1,1301,0.08%,3.43
mens leather messenger bags uk,1,1284,0.08%,5.69
mugs uk,1,1152,0.09%,4.73
john lewis alarm clocks,1,1042,0.1%,2.01
make-up bags,1,1038,0.1%,2.91
make.up bag,1,972,0.1%,2.33
mens leather briefcase sale,1,922,0.11%,6.47
womens make up bag,1,908,0.11%,2.28
mugs for sale,1,840,0.12%,7.03
oven mitts uk,1,802,0.12%,7.78
raspberry cushions,1,778,0.13%,9.5
man bags leather,1,747,0.13%,2.73
posh mugs,1,731,0.14%,2.37
best ready made curtains,1,712,0.14%,4.29
work bag men,1,689,0.15%,3.07
ladies make up bag,1,664,0.15%,2.31
john lewis mens sale,1,601,0.17%,1
ceiling lights for living room,1,600,0.17%,3.73
waitrose oven gloves,1,526,0.19%,7.52
mens leather briefcase uk,1,525,0.19%,3.69
best mugs uk,1,438,0.23%,6.79
living room lighting,1,426,0.23%,8.08
small bedside clock,1,410,0.24%,8
tall mugs uk,1,410,0.24%,8.2
men work bag,1,406,0.25%,3.61
mens black leather briefcase,1,405,0.25%,2.48
home decorative accessories,1,380,0.26%,4.32
curtains at john lewis,1,351,0.28%,3.34
john lewis electrical appliances,1,333,0.3%,3.65
maternity clothes london,1,309,0.32%,10.67
crochet storage box,1,294,0.34%,5.45
mens leather briefcase bag,1,282,0.35%,2.52
john lewis cushion pads,1,276,0.36%,7.87
leather mens bags,1,266,0.38%,2.44
men's leather bags,1,261,0.38%,2.87
john lewis clearance,1,251,0.4%,2.01
briefcase leather,1,232,0.43%,5.52
mens briefcase sale,1,231,0.43%,4.62
best large mugs,1,219,0.46%,5.21
satchels for men,1,218,0.46%,4.26
john kewis curtains,1,216,0.46%,3.17
john lewis bedside clock,1,212,0.47%,2.13
wooden sewing boxes uk,1,202,0.5%,7.95
nice make up bag,1,162,0.62%,2.5
john lewis cheadle sale,1,157,0.64%,2.08
john lewis online shopping sale,1,156,0.64%,2.05
john lewis clothing sale,1,150,0.67%,2.73
mens leather bags for work,1,133,0.75%,2.06
men's designer laptop bags sale,1,131,0.76%,8.16
john lewis maternity wear,1,126,0.79%,1.1
touch table lamps,1,123,0.81%,5.55
reiss maternity,1,120,0.83%,1.87
curtains from john lewis,1,118,0.85%,3.85
large toiletry bag with compartments uk,1,117,0.85%,7.28
3240 x 2160,1,115,0.87%,8.63
john lewis made to measure curtains reviews,1,108,0.93%,1.01
small desk clock,1,105,0.95%,10.18
john lewis i phone,1,93,1.08%,1.29
men's leather briefcase sale,1,88,1.14%,8.85
iphone john lewis,1,84,1.19%,1
gant fleece,1,71,1.41%,8.18
barbour gloves ladies,1,69,1.45%,5.52
black friday electrical,1,66,1.52%,3.05
footed mugs waitrose,1,51,1.96%,5.08
sewing bixes,1,48,2.08%,2.54
living room decorative accessories,1,47,2.13%,5.34
john lewis iphone 10,1,45,2.22%,1.02
john lewis iphones,1,44,2.27%,1.02
child's sewing box uk,1,41,2.44%,6.71
john lewis apple phone,1,40,2.5%,1
leather document bag,1,39,2.56%,3
pacapod picos,1,38,2.63%,9.45
jeff banks tree skirt,1,37,2.7%,2.92
tom ford grey vetiver 100ml,1,33,3.03%,16.33
john lewis clearance 2020,1,32,3.12%,3.78
womens barbour gloves,1,32,3.12%,5.91
barbour ladies gloves,1,32,3.12%,6.5
john lewis curtain making,1,31,3.23%,3.45
good quality mugs uk,1,29,3.45%,2.1
john lewis gifts for teenage boys,1,28,3.57%,3.5
lounge ceiling lighting,1,26,3.85%,2.31
matching makeup and toiletry bags,1,26,3.85%,2.35
where to get curtains made,1,26,3.85%,4.92
mens briefcase bag leather,1,24,4.17%,1.75
barbour womens gloves,1,23,4.35%,5.7
new cushions,1,20,5%,2.45
debenhams sale mirrors,1,20,5%,6.3
