Top queries,Clicks,Impressions,CTR,Position
internal doors,2493,158711,1.57%,12.43
door superstore,1588,7032,22.58%,1.03
shed doors,1456,12161,11.97%,7.5
shed door,1233,9713,12.69%,5.45
front doors,1198,79117,1.51%,12.93
external doors,1161,38486,3.02%,9.98
front door,841,51679,1.63%,11.71
internal bifold doors,675,25622,2.63%,11.74
interior doors,632,49425,1.28%,13.16
internal doors with glass,549,29397,1.87%,11.87
shed doors for sale,518,4738,10.93%,4.53
internal fire doors,507,12794,3.96%,6.83
internal doors uk,447,7347,6.08%,3.92
external wooden doors,438,9246,4.74%,5.29
wooden front doors,416,16953,2.45%,23.13
lpd doors,413,23547,1.75%,4.21
external door and frame set,372,4236,8.78%,2.44
types of door handles,371,5598,6.63%,2.33
fire doors,366,21184,1.73%,11.46
deanta doors,359,10494,3.42%,4.94
oak internal doors,355,18059,1.97%,10.25
external shed doors,355,3031,11.71%,1.49
internal french doors,344,12894,2.67%,9.94
wooden doors,323,17945,1.8%,14.39
external door,322,10067,3.2%,6.5
wooden front door,305,5663,5.39%,10.34
white internal doors,304,20061,1.52%,10.08
concertina doors,299,21229,1.41%,5.43
cheap internal doors,296,12750,2.32%,11.67
bifold internal doors,285,8137,3.5%,7.96
internal glazed doors,281,8554,3.29%,8.95
glazed internal doors,276,11981,2.3%,8.57
internal wooden doors,265,8242,3.22%,5.15
door lining,258,13157,1.96%,6.43
replacement shed doors uk,253,1004,25.2%,1
bi fold internal doors,251,8941,2.81%,8.3
shaker doors,238,7359,3.23%,11.17
oak doors,237,23663,1%,11.99
stable door,237,14865,1.59%,11.02
fire door,234,17902,1.31%,10.81
doors,230,24432,0.94%,18.74
wooden external doors,230,4450,5.17%,5.5
exterior doors,217,13895,1.56%,12.62
glazed fire doors,214,4559,4.69%,6.99
folding door,203,16525,1.23%,12.6
internal glass doors,203,11422,1.78%,9.57
cottage doors,203,10674,1.9%,8.47
door lock types,201,18839,1.07%,9.56
internal oak doors,201,9790,2.05%,10.9
space saving doors,200,2967,6.74%,1.03
xl joinery,198,17301,1.14%,3.55
door handle types,198,2658,7.45%,1.63
door suppliers near me,197,5381,3.66%,23.53
4 panel internal doors,196,4998,3.92%,4.29
door frame kit,188,7991,2.35%,9.74
internal folding doors,187,7836,2.39%,9.21
