Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
ebay,1,1,30400000,100,0.85,https://www.ebay.com/,24320000,15.84,20672000,0.01,100,"100,82,100,100,100,100,82,100,82,82,82,82",26/09/2021,"Knowledge panel, Top stories, Site links, Reviews, Tweet, FAQ"
ebay motors,1,1,1500000,87,0.47,https://www.ebay.com/b/Auto-Parts-and-Vehicles/6000/bn_1865334,1200000,0.78,564000,0.02,224000000,"100,100,100,100,100,100,81,81,81,81,81,81",26/09/2021,"Site links, Reviews, Video, People also ask"
ebay com,1,1,673000,100,0.77,https://www.ebay.com/,538400,0.35,414568,0.02,65,"100,100,100,100,100,100,82,100,82,82,82,82",26/09/2021,"Knowledge panel, Site links, Reviews, Tweet"
ebay login,1,1,450000,99,0.79,https://www.ebay.com/logout/confirm,360000,0.23,284400,0.01,622000000,"37,67,67,67,100,100,82,100,82,82,82,82",26/09/2021,"Site links, Reviews, Video"
my ebay,1,1,368000,75,1.52,https://www.ebay.com/myb/Summary?MyEbay,294400,0.19,447488,0.01,95,"82,82,82,67,100,100,82,82,67,67,55,67",26/09/2021,"Site links, Reviews, Video, FAQ"
ebay usa,1,1,368000,93,0.43,https://www.ebay.com/,294400,0.19,126592,0.03,461000000,"82,82,82,82,67,67,67,100,100,82,82,82",26/09/2021,"Site links, Reviews, Tweet, Video, FAQ"
traductor,13,19,16600000,89,0.27,https://pr.ebay.com/b/Electronic-Translators/94861/bn_1519920,149400,0.09,40338,0,67600000,"100,100,100,100,82,100,100,100,100,100,100,100",26/09/2021,"Instant answer, Reviews, Video"
www ebay com,1,1,165000,94,0.94,https://www.ebay.com/,132000,0.08,124080,0.01,48,"100,82,82,82,82,82,82,82,82,67,67,67",26/09/2021,"Knowledge panel, Site links, Reviews"
ebay customer service,1,1,135000,81,0.97,https://www.ebay.com/help/home,108000,0.07,104760,0.19,16,"67,82,67,67,100,82,67,82,67,67,67,67",26/09/2021,"Site links, People also ask"
golf carts for sale,1,1,201000,67,0.48,https://www.ebay.com/b/Golf-Carts/181476/bn_16581809,94470,0.06,45345,1,38100000,"100,82,67,55,55,45,45,82,82,100,100,100",26/09/2021,"Local pack, Image pack, Site links, Shopping ads, People also ask, FAQ"
eb,1,1,135000,62,1.03,https://www.ebay.com/,63450,0.04,65353,0,535000000,"81,81,100,100,100,100,81,100,81,81,81,81",26/09/2021,"Site links, Video Carousel, People also ask"
ebay sign in,1,1,60500,92,0.63,https://www.ebay.com/logout/confirm,48400,0.03,30492,0.01,99,"100,82,82,67,82,82,67,67,67,55,55,55",26/09/2021,"Reviews, Video"
ebay for sale,1,1,60500,79,0.96,https://www.ebay.com/b/Everything-Else/99/bn_1864388,48400,0.03,46464,0.97,948000000,"67,67,82,67,82,100,82,67,55,45,45,45",26/09/2021,"Site links, Reviews, Video, FAQ"
ebay customer service number,1,1,60500,74,1.07,https://www.ebay.com/help/home,48400,0.03,51788,0.15,10,"67,55,55,67,67,82,67,100,100,82,100,82",26/09/2021,"Site links, People also ask"
eba,1,1,74000,65,0.04,https://www.ebay.com/,59200,0.03,2368,0.04,33800000,"82,100,100,100,100,100,82,100,82,82,82,82",26/09/2021,"Site links, Reviews, Video Carousel"
ps5 ebay,1,1,74000,51,0.9,https://www.ebay.com/b/Sony-PlayStation-5-Blu-Ray-Edition-Video-Game-Consoles/139971/bn_7117588355,59200,0.03,53280,1,24400000,"0,20,7,100,45,25,16,16,11,11,9,7",26/09/2021,"Site links, Reviews, Shopping ads, Video Carousel, People also ask"
ebay gift card,1,1,60500,87,0.79,https://www.ebay.com/b/eBay-Gift-Cards/172036/bn_7208216,48400,0.03,38236,1,93600000,"67,67,67,67,100,67,55,55,55,55,55,55",26/09/2021,"Image pack, Site links, Reviews, Video, Shopping ads"
ebay seller hub,1,1,40500,65,33.72,https://www.ebay.com/sellerhub,32400,0.02,1092528,0.15,81,"67,67,82,82,100,100,100,100,100,100,100,100",26/09/2021,"Reviews, Video, AdWords top"
ebay app,1,1,40500,76,1.84,https://www.ebay.com/ebay-app-mobile/,32400,0.02,59616,0.25,97,"100,67,67,55,67,67,45,55,55,55,55,55",26/09/2021,"Reviews, Video, People also ask"
ebay motors,2,2,1500000,87,0.47,https://www.ebay.com/b/Auto-Parts-Accessories/6028/bn_569479,39000,0.02,18330,0.02,224000000,"100,100,100,100,100,100,81,81,81,81,81,81",26/09/2021,"Site links, Reviews, Video, People also ask"
