#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume,Organic Clicks Only,Paid Clicks Only,Paid & Organic Clicks,Searches Without Clicks
1,building a shed,gb,36,3700,0.9,3189,0.86,1.49,how to build shed,2021-10-21 16:57:59,"Shopping results,Thumbnails,Top stories,Videos,People also ask,Sitelinks,Image pack",13000,48%,5%,4%,43%
2,unblocking a toilet,gb,10,2700,3,2398,0.88,1.27,unblock toilet,2021-10-16 21:27:34,"Sitelinks,People also ask,Top stories,Videos",3900,53%,4%,3%,40%
3,sealing a shower,gb,1,2000,1.2,1442,0.72,1.15,sealing a shower tray,2021-10-18 19:42:04,"Top stories,Videos,People also ask,Sitelinks,Image pack",2600,36%,11%,2%,51%
4,insulating a shed,gb,3,1600,0.5,2015,1.27,1.44,shed insulation,2021-10-19 13:10:37,"People also ask,Sitelinks,Top stories,Videos,Image pack",3300,58%,7%,8%,27%
5,painting a patio,gb,5,1200,,,,,outdoor concrete paint,2021-10-17 14:54:27,"People also ask,Top stories,Videos,Image pack,Sitelinks",1300,,,,
6,building a summer house,gb,6,1100,0.9,1308,1.23,1.21,building a summer house,2021-10-16 22:04:52,"Top stories,Videos,Thumbnails,People also ask,Sitelinks,Image pack",1100,47%,14%,6%,33%
7,building a garage,gb,10,900,0.9,928,0.98,1.38,garage build cost,2021-10-18 11:42:15,"Top stories,Videos,People also ask,Sitelinks,Image pack",4600,46%,5%,8%,41%
8,insulating a flat roof,gb,4,800,2,662,0.88,1.54,flat roof insulation,2021-10-18 17:42:45,"Sitelinks,People also ask,Top stories,Videos,Image pack",800,50%,4%,3%,43%
9,insulating a garage,gb,9,700,0.9,737,1.13,1.38,garage insulation,2021-10-16 18:59:13,"Top stories,Videos,People also ask,Sitelinks,Image pack",1100,58%,5%,4%,33%
10,building a pond,gb,13,600,0.9,612,1.05,1.27,wildlife pond,2021-10-16 00:44:24,"Top stories,Videos,People also ask,Image pack,Sitelinks",2200,52%,2%,5%,41%
11,painting a ceiling,gb,14,600,0.9,485,0.78,1.28,how to paint a ceiling,2021-10-17 09:30:23,"Top stories,Videos,People also ask,Image pack",2200,55%,1%,0%,44%
12,building a porch,gb,5,500,0.6,537,1.04,1.19,building a porch uk,2021-10-22 01:53:14,"Top stories,Videos,People also ask,Sitelinks,Image pack",1900,52%,8%,7%,33%
13,tiling a bathroom,gb,10,450,1.2,296,0.68,1.29,how to tile a bathroom,2021-10-05 14:39:22,"Top stories,Videos,People also ask,Sitelinks,Image pack",1100,47%,5%,2%,46%
14,painting a door,gb,19,450,0.7,390,0.83,1.31,how to paint a door,2021-10-03 12:09:36,"Top stories,Videos,People also ask,Image pack,Sitelinks",900,63%,0%,1%,36%
15,plumbing in a shower,gb,7,450,0.9,202,0.44,1.14,shower plumbing diagram,2021-10-13 01:36:16,"Top stories,Videos,Thumbnails,People also ask,Image pack,Sitelinks",500,,,,
16,painting a wall,gb,50,400,0.4,214,0.55,1.18,wall painters,2021-10-11 00:02:11,"Sitelinks,Top stories,Videos,People also ask,Image pack",1700,41%,1%,0%,58%
17,landscaping a garden,gb,52,400,1.7,,,,garden landscaping,2021-10-08 04:20:39,"Adwords top,People also ask,Image pack,Top stories,Videos,Sitelinks,Shopping results,Thumbnails",500,,,,
18,tiling a toilet,gb,5,400,,,,,tiling a toilet,2021-10-12 14:48:50,"Top stories,Videos,People also ask,Sitelinks,Image pack",400,,,,
19,tiling a wall,gb,9,400,1,287,0.7,1.29,how to tile a wall,2021-10-02 16:20:28,"Top stories,Videos,People also ask,Sitelinks,Image pack",700,56%,2%,1%,41%
20,tiling a floor,gb,7,400,1.4,299,0.77,1.31,how to tile a floor,2021-10-06 17:05:21,"Top stories,Videos,People also ask,Sitelinks,Knowledge panel",700,53%,3%,3%,41%
21,converting a garage,gb,20,350,1.8,363,1.04,1.23,garage conversion,2021-10-03 03:39:45,"People also ask,Top stories,Videos",400,61%,2%,4%,33%
22,building a driveway,gb,15,350,1.8,389,1.11,1.22,building a driveway,2021-10-08 17:18:34,"Featured snippet,People also ask,Top stories,Videos,Sitelinks",900,61%,0%,2%,37%
23,installing a flat roof,gb,7,350,,,,,installing a flat roof,2021-10-07 09:16:24,"People also ask,Image pack",400,,,,
24,painting a pool,gb,2,350,,,,,painting a pool,2021-10-08 14:40:56,"Top stories,Videos,People also ask,Sitelinks,Image pack",500,,,,
25,insulating a summer house,gb,0,300,,357,1.17,1.35,summer house insulation,2021-10-07 06:51:59,"People also ask,Sitelinks,Top stories,Videos,Image pack",300,54%,3%,11%,32%
26,building a patio,gb,18,300,0.7,249,0.89,1.24,how to lay a patio,2021-10-18 08:59:00,"Top stories,Videos,Sitelinks,People also ask,Image pack",1900,55%,3%,1%,41%
27,building a wall,gb,20,300,,171,0.6,1.15,how to build a wall,2021-10-05 23:00:57,"Top stories,Videos,People also ask,Sitelinks,Image pack",1900,46%,1%,1%,52%
28,building a roof,gb,17,300,2,181,0.62,1.38,roofing construction,2021-10-12 02:10:24,"Top stories,Videos,People also ask,Image pack",1800,43%,1%,3%,53%
29,painting a roof,gb,2,250,,,,,painting a roof,2021-10-07 08:18:10,"Top stories,Videos,People also ask,Sitelinks,Image pack",450,,,,
30,building a garden,gb,45,250,0.9,,,,raised bed garden,2021-10-20 15:53:57,"Top stories,Videos,People also ask,Image pack",1100,,,,
31,building a conservatory,gb,7,250,3,219,0.9,1.36,conservatory pitfalls,2021-10-17 07:31:42,"Featured snippet,People also ask,Top stories,Videos,Sitelinks",400,48%,7%,8%,37%
32,building a door,gb,17,250,,,,,making a door,2021-10-02 22:32:05,"Shopping results,Thumbnails,People also ask,Image pack,Sitelinks",700,,,,
33,insulating a loft,gb,10,200,1.3,215,1.12,1.23,loft insulation,2021-10-13 14:10:10,"People also ask,Top stories,Videos,Sitelinks,Image pack",200,52%,9%,9%,30%
34,building a pitched roof,gb,11,200,1.8,139,0.67,1.61,pitched roof,2021-10-11 15:49:06,"Top stories,Videos,People also ask,Sitelinks,Image pack",300,38%,0%,0%,62%
35,installing a shower,gb,4,150,1.2,103,0.72,1.14,fitted showers,2021-10-16 08:44:32,"Top stories,Videos,People also ask,Sitelinks,Image pack",600,51%,5%,3%,41%
36,building a swimming pool,gb,26,150,1.6,185,1.25,1.18,swimming pool construction,2021-10-06 14:20:41,"Top stories,Videos,People also ask,Sitelinks,Image pack",1300,38%,26%,15%,21%
37,plumbing in a toilet,gb,10,150,5,138,0.84,1.14,how to install a toilet,2021-10-12 11:19:09,"Featured snippet,Thumbnails,People also ask,Image pack,Sitelinks",5200,,,,
38,painting a shed,gb,2,150,2,119,0.9,1.15,painting a shed,2021-10-08 09:26:56,"People also ask,Top stories,Videos,Sitelinks,Image pack",250,57%,2%,0%,41%
39,cleaning a pond,gb,9,150,1.7,137,1.06,1.33,pond cleaning,2021-10-17 15:13:39,"People also ask,Top stories,Videos,Sitelinks",200,,,,
40,tiling a roof,gb,4,150,1,117,0.72,1.67,how to tile a roof,2021-10-21 22:20:48,"Top stories,Videos,People also ask,Image pack,Sitelinks",3400,53%,1%,0%,46%
41,insulating a roof,gb,23,150,1.1,112,0.67,1.24,loft insulation,2021-10-21 14:12:11,"Top stories,Videos,Thumbnails,People also ask,Sitelinks,Image pack",200,38%,5%,5%,52%
42,converting a conservatory,gb,0,100,,,,,convert conservatory to extension,2021-10-07 17:53:21,"People also ask,Sitelinks,Top stories,Videos,Shopping results,Thumbnails",100,,,,
43,unblocking a drain,gb,8,100,9,103,0.88,1.24,unblock drain,2021-10-21 03:16:42,"Featured snippet,People also ask,Top stories,Videos,Adwords bottom",250,51%,3%,1%,45%
44,tiling a wet room,gb,0,100,2,,,,tiled wet room,2021-10-09 11:41:10,"Top stories,Videos,People also ask,Image pack",100,,,,
