#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features
1,clothing,1,3,17/10/2021 05:25,128000,https://www.next.co.uk/women,87,71201,0.6,19/10/2021 23:37,,"Sitelinks, Top stories, Thumbnail"
2,coffee table,1,5,17/10/2021 01:00,218000,https://www.next.co.uk/shop/department-homeware-productaffiliation-coffeesidetables-0,13,69245,1,19/10/2021 16:07,,"Sitelinks, Image pack"
3,wedding guest dresses,1,1,,196000,https://www.next.co.uk/shop/gender-women-category-dresses/use-weddingguest,35,55957,0.6,19/10/2021 22:17,,"Sitelinks, Image pack"
4,christmas jumpers,1,1,,174000,https://www.next.co.uk/shop/style-christmassweater-0,9,48812,0.5,20/10/2021 01:13,,"Sitelinks, Top stories, Thumbnail, Image pack, Adwords bottom"
5,loungewear,1,1,,172000,https://www.next.co.uk/shop/gender-women-productaffiliation-loungewear-0,24,35074,0.6,19/10/2021 22:11,,"Sitelinks, Image pack"
6,sofas,3,3,,392000,https://www.next.co.uk/homeware/sofasbynext,40,34288,2.5,19/10/2021 03:51,,"Shopping results, Thumbnail, Sitelinks, Knowledge card, Top stories, Image pack"
7,ceiling lights,1,3,17/10/2021 04:47,159000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-ceilinglights,21,33193,0.9,19/10/2021 01:41,,"Sitelinks, Image pack"
8,bikini,1,3,18/10/2021 21:04,102000,https://www.next.co.uk/shop/gender-women-productaffiliation-swimwear/category-bikinis,25,32588,1.3,20/10/2021 04:37,,"Sitelinks, Top stories, Thumbnail, Image pack, Video"
9,mother of the bride dresses,1,1,,65000,https://www.next.co.uk/shop/gender-women-category-dresses/use-motherofthebride,22,31652,0.45,20/10/2021 02:13,,"Sitelinks, Image pack"
10,christmas pyjamas,1,2,17/10/2021 21:59,136000,https://www.next.co.uk/shop/promotion-christmasnightwear-0,4,30063,0.5,19/10/2021 09:31,,"Shopping results, Thumbnail, Sitelinks, Image pack"
11,mens slippers,1,1,,121000,https://www.next.co.uk/shop/gender-men-productaffiliation-nightwear/category-slippers,12,29494,1,19/10/2021 09:49,,"Sitelinks, People also ask, Image pack"
12,floor lamp,2,2,,163000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-floorlights,21,28988,0.8,19/10/2021 20:18,,"Knowledge card, Sitelinks, Image pack"
13,laura ashley wallpaper,1,1,,34000,https://www.next.co.uk/laura-ashley/shop/department-homeware-productaffiliation-diy/brand-lauraashley-category-wallpaper,1,25477,0.07,19/10/2021 13:04,,"Sitelinks, Image pack"
14,dressing table,2,4,18/10/2021 21:43,99000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedroomfurniture/type-dressingtable,8,25317,0.7,20/10/2021 06:01,,"Sitelinks, Image pack"
15,tv stand,2,3,17/10/2021 12:59,162000,https://www.next.co.uk/shop/department-homeware-productaffiliation-livingfurniture/category-tvunits,21,24557,0.9,19/10/2021 05:41,,"Sitelinks, People also ask, Image pack"
16,womens slippers,1,1,,97000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-slippers,22,24511,0.9,20/10/2021 00:38,,"Sitelinks, Image pack"
17,gifts for her,2,1,16/10/2021 01:54,115000,https://www.next.co.uk/shop/promotion-giftsforher-0,39,22969,0.8,18/10/2021 01:22,,"Sitelinks, Image pack"
18,slippers,1,2,16/10/2021 01:19,120000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-slippers,19,22808,1,18/10/2021 23:06,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack"
19,dresses,2,1,17/10/2021 10:38,251000,https://www.next.co.uk/shop/gender-women-category-dresses-0,71,22765,0.9,19/10/2021 17:01,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Top stories, Image pack, Adwords bottom"
20,bridesmaid dresses,3,3,,147000,https://www.next.co.uk/shop/gender-women-category-dresses/use-bridesmaid,41,22215,0.5,19/10/2021 02:33,,"Sitelinks, People also ask, Image pack"
21,gifts for men,3,2,17/10/2021 21:50,150000,https://www.next.co.uk/shop/promotion-giftsforhim-0,39,21925,0.8,19/10/2021 21:16,,"Sitelinks, Image pack"
22,mens suits,1,1,,46000,https://www.next.co.uk/shop/gender-men-productaffiliation-suits-0,50,21420,1.2,20/10/2021 02:00,,"Sitelinks, Image pack"
23,lipsy,1,1,,37000,https://www.next.co.uk/lipsy,11,20917,0.08,18/10/2021 21:20,,"Sitelinks, People also ask, Tweet box, Knowledge panel"
24,secret santa gifts,1,1,,26000,https://www.next.co.uk/shop/promotion-secretsanta-0,6,20154,0.35,19/10/2021 09:47,,"People also ask, Sitelinks, Image pack"
25,next.co.uk,1,1,,24000,https://www.next.co.uk/,59,19697,0.4,19/10/2021 20:54,,Sitelinks
26,dressing gown,1,1,,134000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-robes,8,19290,0.7,20/10/2021 08:00,,"Sitelinks, People also ask, Image pack"
27,dining table,2,2,,119000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diningroomfurniture/category-diningtables,19,18991,1.5,18/10/2021 20:05,,"Adwords top, Sitelinks, Image pack"
28,loungewear sets,1,1,,44000,https://www.next.co.uk/shop/gender-women-productaffiliation-loungewear-0,26,18924,0.8,18/10/2021 15:12,,"Sitelinks, Image pack"
29,gift ideas for women,1,1,,30000,https://www.next.co.uk/shop/promotion-giftsforher-0,50,18851,0.9,18/10/2021 10:33,,"Sitelinks, Image pack"
30,bedside lamps,1,1,,81000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,22,18183,0.7,18/10/2021 09:15,,"Sitelinks, People also ask, Image pack"
31,curtains,5,4,16/10/2021 09:14,188000,https://www.next.co.uk/shop/department-homeware-productaffiliation-curtainsandblinds-0,39,17863,1,18/10/2021 15:36,,"Sitelinks, Image pack"
32,silk pyjamas,1,1,,24000,https://www.next.co.uk/shop/gender-women-productaffiliation-nightwear/category-pyjamas-style-satin,2,17797,1.1,19/10/2021 03:59,,"People also ask, Sitelinks, Image pack"
33,womens wellies,1,1,,73000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-wellies,14,17605,0.9,20/10/2021 06:09,,"Sitelinks, Image pack"
34,beds,7,9,17/10/2021 01:38,306000,https://www.next.co.uk/shop/department-homeware-productaffiliation-bedsandmattresses/category-beds,32,17514,2,19/10/2021 10:06,,"Sitelinks, Top stories, Thumbnail, Image pack"
35,wallpaper,5,5,,327000,https://www.next.co.uk/shop/department-homeware-productaffiliation-diy/category-wallpaper,52,17251,0.4,19/10/2021 11:09,,"Sitelinks, Image pack, People also ask, Tweet box"
36,bucket hat,1,3,16/10/2021 08:43,108000,https://www.next.co.uk/shop/gender-men-productaffiliation-hatsglovesscarves/category-hats-style-bucket,1,15868,0.7,18/10/2021 12:16,,"People also ask, Sitelinks, Image pack"
37,baby clothes,4,7,16/10/2021 12:30,153000,https://www.next.co.uk/newborn,35,15824,1,18/10/2021 20:27,,"Sitelinks, Top stories, Video, Image pack"
38,puffer jacket,2,4,17/10/2021 17:39,103000,https://www.next.co.uk/shop/gender-women-productaffiliation-coatsandjackets/category-coats-style-puffer,8,15720,0.8,19/10/2021 04:54,,"Sitelinks, People also ask, Image pack"
39,occasion dresses,1,1,,58000,https://www.next.co.uk/shop/gender-women-category-dresses/use-occasionwear,20,15622,0.7,20/10/2021 05:48,,"Sitelinks, Image pack"
40,maxi dress,2,1,17/10/2021 16:37,76000,https://www.next.co.uk/shop/gender-women-category-dresses/style-maxidress,40,15017,1.4,19/10/2021 03:06,,"Sitelinks, Image pack"
41,mother of the bride outfits,1,2,08/10/2021 00:20,48000,https://www.next.co.uk/shop/gender-women-category-dresses/use-motherofthebride,13,14970,0.4,11/10/2021 15:25,,"Sitelinks, People also ask, Image pack"
42,matching christmas pyjamas,1,2,17/10/2021 22:07,47000,https://www.next.co.uk/shop/productaffiliation-nightwear-promotion-familychristmas-0,3,14884,,19/10/2021 19:56,,"Adwords top, Image pack, Adwords bottom"
43,maxi skirts,1,1,,28000,https://www.next.co.uk/shop/gender-women-category-skirts/length-maxi,4,14875,1.1,18/10/2021 12:24,,"Sitelinks, Image pack"
44,cushions,3,2,18/09/2021 03:49,111000,https://www.next.co.uk/shop/department-homeware-productaffiliation-cushionsandthrows/category-cushions,40,14863,0.7,20/09/2021 14:25,,"Sitelinks, Image pack"
45,mens shorts,1,1,,41000,https://www.next.co.uk/shop/gender-men-category-shorts-0,9,14754,1.5,18/10/2021 14:07,,"Sitelinks, Image pack"
46,dress,1,2,17/10/2021 03:14,38000,https://www.next.co.uk/shop/gender-women-category-dresses-0,72,14730,1,19/10/2021 10:22,,"Sitelinks, Top stories, Thumbnail, Image pack"
47,mens boots,1,1,,45000,https://www.next.co.uk/shop/gender-men-productaffiliation-footwear/category-boots,30,14723,1,20/10/2021 02:13,,"Shopping results, Thumbnail, Sitelinks, Image pack"
48,touch lamp,1,3,16/10/2021 22:13,19000,https://www.next.co.uk/shop/department-homeware-productaffiliation-lighting/category-tablelights,3,14630,0.45,18/10/2021 16:57,,"People also ask, Sitelinks, Top stories, Video, Image pack"
49,black dress,1,1,,86000,https://www.next.co.uk/shop/gender-women-category-dresses/colour-black,12,14585,0.9,19/10/2021 09:16,,"Sitelinks, Image pack, Top stories, Thumbnail"
50,nike socks,2,2,,77000,https://www.next.co.uk/shop/gender-men-category-socks/brand-nike,1,14542,0.6,18/10/2021 18:24,,"Sitelinks, Image pack"
51,wellies,1,1,,107000,https://www.next.co.uk/shop/gender-women-productaffiliation-footwear/category-wellies,15,14288,0.7,19/10/2021 12:49,,"Sitelinks, People also ask, Image pack"
52,maternity clothes,3,4,17/10/2021 10:43,85000,https://www.next.co.uk/shop/gender-women/sizetype-maternity,52,14154,1.3,19/10/2021 21:52,,"Sitelinks, People also ask, Image pack"
53,cargo trousers,1,1,,43000,https://www.next.co.uk/shop/gender-men-category-trousers/style-cargo,7,14091,1,20/10/2021 08:40,,"People also ask, Sitelinks, Image pack"
